pde,method,run_time,train_loss,mse,mxe,l2rel
Burgers1D,pinn,297.478524,0.000583276443649,9.619452269709498e-05,0.0876863598823547,0.0161132075237593
Burgers1D,r3,302.753675,0.0003261665115132,0.0198799151885572,1.625988245010376,0.231640285780722
Burgers1D,rad,288.837207,0.0182610880583524,0.075304865331132,1.53901207447052,0.4508357494376765
Burgers1D,randomr,442.393271,0.0002317154721822,9.104079490278148e-05,0.0880007743835449,0.015675624400953
Burgers1D,rard,287.778175,0.000102823927591,0.0001557590293106,0.1433714777225881,0.0205037569173201
Burgers1D,rarg,293.471967,0.0003873708192259,0.0005077816666948,0.2998165190225997,0.0370207605664603
Burgers2D,pinn,2121.45216,0.0114970495924353,0.2240468348511326,4.418898820877075,0.5175647259955278
Burgers2D,r3,3855.987136,0.0048906211741268,0.2341370045196423,4.099092543125153,0.5290909003150135
Burgers2D,rad,2302.526039,0.0067695267498493,0.2367470999464868,4.024852454662323,0.5320318074030571
Burgers2D,randomr,7098.351577,0.013009188696742,0.2226603402765317,4.503454208374023,0.5159607882827929
Burgers2D,rard,2299.438956,0.0134435622021555,0.225451820828964,4.5480071902275085,0.5191850004585661
Burgers2D,rarg,2306.719416,0.0113263390958309,0.2258834114855159,4.482563078403473,0.5196817102611099
GrayScottEquation,pinn,1360.036576,5.850521347383619e-07,0.004315823316574,0.9827817678451538,0.0936675369739532
GrayScottEquation,r3,1382.120761,5.71014822980942e-07,0.0043317829258739,0.984678328037262,0.0938405618071556
GrayScottEquation,rad,1361.859352,5.341588504848005e-09,0.0043106083758175,0.982569456100464,0.0936109200119972
GrayScottEquation,randomr,1857.150004,2.675801056284399e-07,0.0043254946358501,0.9826136231422424,0.0937724262475967
GrayScottEquation,rard,1358.282375,3.7024355492576433e-07,0.0043046702630817,0.9829272627830504,0.0935464203357696
GrayScottEquation,rarg,1350.067818,3.033802897789428e-07,0.0042993291281163,0.9831105470657348,0.0934883654117584
Heat2D_ComplexGeometry,pinn,554.26954,0.0041227913461625,0.0012016784097215,0.8895163052948192,0.0284186014629404
Heat2D_ComplexGeometry,r3,654.754943,0.0042141489684581,0.0009223509279918,0.8960961258271709,0.0248975530806208
Heat2D_ComplexGeometry,rad,553.811299,0.0027561716269701,0.0004575757731001,0.8193432512925938,0.017536385481672
Heat2D_ComplexGeometry,randomr,2167.303433,0.0042221895419061,0.0008456788233944,0.8687659656861797,0.0238402771671538
Heat2D_ComplexGeometry,rard,551.677577,0.0114300623536109,0.0035255952864382,1.2101012581260877,0.0486771116755563
Heat2D_ComplexGeometry,rarg,559.837135,0.0042399312369525,0.0008814376170464,0.8270052089355886,0.0243390914718707
Heat2D_LongTime,pinn,1826.258517,9.169495751848444e-05,1.1350267489719257,1.827152281999588,0.9991905618886912
Heat2D_LongTime,r3,1878.739801,0.0139580843970179,1.131834017657498,1.8669116497039795,0.99778425425714
Heat2D_LongTime,rad,1888.422499,0.0072546824812889,1.133241751371474,1.8569247275590897,0.9984045652000212
Heat2D_LongTime,randomr,2380.489267,0.0001799329620553,1.1346541140160111,1.8606701046228409,0.9990265287960536
Heat2D_LongTime,rard,1843.435366,0.0001721371663734,1.1349421989201234,1.858154959976673,0.9991533455027348
Heat2D_LongTime,rarg,1881.326981,0.0004606120055541,1.134628474195407,1.8577507957816124,0.9990152412127418
Heat2D_Multiscale,pinn,815.565229,9.13436451810412e-05,0.0003269044973421,0.0467841029167175,0.1025483012199401
Heat2D_Multiscale,r3,844.267413,8.454993076156825e-05,8.584776514908299e-05,0.0624129176139831,0.0525511875748634
Heat2D_Multiscale,rad,820.080653,0.0001399914908688,0.000114660768304,0.0393615663051605,0.0607331022620201
Heat2D_Multiscale,randomr,1332.433475,0.0001172433258034,4.2201736505376175e-05,0.0330147743225097,0.0368453934788703
Heat2D_Multiscale,rard,823.733388,7.401054608635604e-05,7.95326559455134e-05,0.0581991374492645,0.0505813919007778
Heat2D_Multiscale,rarg,826.941733,7.054733578115702e-05,6.236846093088388e-05,0.0415439307689666,0.0447920076549053
Heat2D_VaryingCoef,pinn,585.314055,25.82490921020508,0.0493727826381182,1.0309823751449585,1.1209358975496464
Heat2D_VaryingCoef,r3,876.523147,1693.540771484375,1.279099692245524,4.853410243988037,5.705440391990619
Heat2D_VaryingCoef,rad,591.422689,202.672607421875,0.0955291762279486,1.405733346939087,1.5592113645743892
Heat2D_VaryingCoef,randomr,1097.574671,50.31378173828125,0.0314635147152521,0.9472570568323136,0.8948301172355404
Heat2D_VaryingCoef,rard,593.274059,51.110939025878906,0.0509589892401113,0.9883060455322266,1.1387997885190744
Heat2D_VaryingCoef,rarg,594.689747,30.517927169799805,0.0494327256876818,1.0296669006347656,1.1216161502156914
HeatND,pinn,1104.963857,0.0001519579527666,0.0002539113920647,0.048039436340332,0.0060339169576764
HeatND,r3,1162.220894,0.0001214594085467,6.287276482908055e-05,0.0208711624145507,0.0030025448650121
HeatND,rad,1103.157791,0.0001128205549321,3.854127498925664e-05,0.0245962142944335,0.0023554370272904
HeatND,randomr,1956.847829,0.0002128848864231,0.0001008394028758,0.0353527069091796,0.0038025360554456
HeatND,rard,1103.454383,8.827265264699236e-05,1.3305828360898886e-05,0.0193357467651367,0.0013839787570759
HeatND,rarg,1105.667833,0.000120672128105,9.38205630518496e-05,0.0398206710815429,0.0036750009749084
KuramotoSivashinskyEquation,pinn,639.091239,0.0462983362376689,1.1639822721481323,3.720636367797852,1.0112264156341553
KuramotoSivashinskyEquation,r3,638.009993,0.0140259470790624,1.203261375427246,3.9993629455566406,1.0281471014022827
KuramotoSivashinskyEquation,rad,621.244784,0.071755364537239,1.1871074438095093,3.5397720336914062,1.0212223529815674
KuramotoSivashinskyEquation,randomr,877.26721,0.0466433875262737,1.1635677814483645,3.727873325347901,1.0110465288162231
KuramotoSivashinskyEquation,rard,626.031372,0.046283483505249,1.162972331047058,3.707478046417236,1.0107877254486084
KuramotoSivashinskyEquation,rarg,635.45473,0.0467554219067096,1.16313636302948,3.5286412239074707,1.0108590126037598
NS2D_BackStep,pinn,457.035896,4.439566328073852e-05,0.0006083751795813,0.1998179852962494,0.111577920615673
NS2D_BackStep,r3,555.979409,7.207081216620281e-05,0.0010960560757666,0.2029846459627151,0.1497645080089569
NS2D_BackStep,rad,467.501778,7.613423804286867e-05,0.0006951977848075,0.1916020512580871,0.1192742586135864
NS2D_BackStep,randomr,826.085193,4.8455702199134976e-05,0.0006262030219659,0.1997262090444564,0.1132009550929069
NS2D_BackStep,rard,449.745493,4.2779451177921146e-05,0.0006532205152325,0.2001808434724807,0.1156171932816505
NS2D_BackStep,rarg,464.907834,0.0001099661894841,0.0005386368138715,0.1954528540372848,0.1049882099032402
NS2D_LidDriven,pinn,472.618241,0.0004443234938662,9.512947144685312e-05,0.2207411229610443,0.0708177462220192
NS2D_LidDriven,r3,501.865342,2.673210110515356e-05,6.745369319105521e-05,0.2513076364994049,0.0596331059932708
NS2D_LidDriven,rad,430.158192,0.000144262012327,0.0001008268518489,0.2546882927417755,0.0729075744748115
NS2D_LidDriven,randomr,722.409287,0.0004443234938662,9.512947144685312e-05,0.2207411229610443,0.0708177462220192
NS2D_LidDriven,rard,421.718192,0.0001164411514764,4.222170900902711e-05,0.2240067720413208,0.0471794083714485
NS2D_LidDriven,rarg,463.416176,0.0005468091112561,0.0001453697768738,0.2163858115673065,0.0875430405139923
NS2D_LongTime,pinn,1539.53003,0.0096899252384901,506.0540963445599,115.85975694656372,0.9959533181573847
NS2D_LongTime,r3,1578.55719,0.0099056307226419,506.58656744387577,118.04062938690186,0.9964771524029572
NS2D_LongTime,rad,1559.684531,0.011290319263935,502.8318352159131,116.04960918426514,0.9927774258618588
NS2D_LongTime,randomr,2037.689252,0.0095477830618619,504.0918213080265,115.66866970062256,0.9940204886819064
NS2D_LongTime,rard,1539.548551,0.0134767210111022,505.5614719870185,115.67134284973145,0.9954684388452688
NS2D_LongTime,rarg,1547.801339,0.0167562793940305,505.6290067132341,115.70433044433594,0.9955349257585188
Poisson2D_Classic,pinn,370.509518,0.0103077068924903,0.1146389916539192,0.8384198546409607,0.685754120349884
Poisson2D_Classic,r3,417.669432,0.0004284496535547,0.1139306649565696,0.7247153520584106,0.6836323142051697
Poisson2D_Classic,rad,376.387319,0.000961696554441,0.1147386208176612,0.7454010844230652,0.6860520839691162
Poisson2D_Classic,randomr,1595.823059,0.0032086863648146,0.1134414076805114,0.816193163394928,0.682162880897522
Poisson2D_Classic,rard,372.040192,0.0114312851801514,0.1128346696496009,0.853904664516449,0.6803361177444458
Poisson2D_Classic,rarg,373.723167,0.0026166443713009,0.1137569919228553,0.8510923385620117,0.6831110715866089
Poisson2D_ManyArea,pinn,389.418963,0.037007700651884,2.621976137161255,4.740967750549316,0.6237816214561462
Poisson2D_ManyArea,r3,2619.138956,0.6511546969413757,1.4467843770980835,6.431760787963867,0.4633616805076599
