pde,method,run_time,train_loss,mse,l2rel
Burgers1D,R3,4244.714155,0.0001164952118415,0.0015834514749998,0.0653746245764209
Burgers1D,rad,9949.972953,2.7627693270915188e-05,0.1193765418117185,0.5676312872481937
Burgers1D,randomr,4172.143412,2.2901969714439477e-05,9.83524683367175e-05,0.0162929400800861
Burgers1D,rard,6580.407772,0.0003630815190263,0.0002348138479853,0.0251749537401481
Burgers1D,rarg,4247.792041,9.346933074994011e-05,6.773932929984456e-05,0.0135215747874237
Burgers1D,vanilla,6594.78164,0.0002232143888249,6.801508595697388e-05,0.0135490689868564
Poisson2D_Classic,R3,4830.219994,0.0008157665724866,0.1179747134447097,0.6956595182418823
Poisson2D_Classic,rad,12110.393758,0.0008953179349191,0.09124705940485,0.6118031144142151
Poisson2D_Classic,randomr,5583.627589,0.0015754798660054,0.1121958419680595,0.6784074902534485
Poisson2D_Classic,rard,7397.465951,0.0164247974753379,0.1098330244421958,0.671225905418396
Poisson2D_Classic,rarg,4894.844568,0.0024824945721775,0.1110724583268165,0.6750026345252991
Poisson2D_Classic,vanilla,7812.077946,0.0058472398668527,0.1147959008812904,0.6862233281135559
PoissonBoltzmann2D,R3,5181.369788,0.3579550087451935,0.1833401173353195,0.7629274129867554
PoissonBoltzmann2D,rad,12430.616616,0.0013083994854241,0.3172987699508667,1.00366473197937
PoissonBoltzmann2D,randomr,5485.526456,10.583083152770996,0.1179595589637756,0.6119571924209595
PoissonBoltzmann2D,rard,7283.412805,1.4505507946014404,0.1381599009037017,0.6622858643531799
PoissonBoltzmann2D,rarg,4861.339264,1.3834309577941897,0.1379805207252502,0.6618557572364807
PoissonBoltzmann2D,vanilla,7441.944693,0.9169374704360962,0.1349994838237762,0.6546670794487
Wave1D,R3,4867.547663,0.0002282668137922,0.1091168299317359,0.591027557849884
Wave1D,rad,12442.354302,9.355405200039968e-05,0.2127781063318252,0.825325608253479
Wave1D,randomr,4680.903019,0.0007752954843454,0.0873771384358406,0.5288844108581543
Wave1D,rard,7678.836111,0.0004393888812046,0.087152399122715,0.5282037854194641
Wave1D,rarg,4940.292047,0.0003915806300938,0.0900331437587738,0.5368624925613403
Wave1D,vanilla,7594.176303,0.0002558183041401,0.0967922657728195,0.5566499829292297
