pde,method,run_time,train_loss,mse,mxe,l2rel
AllenCahn1D,breed_ac_6_1_long,20295.420572,2.1334004486561753e-05,0.13280471414327621,1.0451645851135254,0.5138092041015625
AllenCahn1D,breed_ac_6_2_long,20743.579409,3.0210278055164963e-05,0.1353874206542968,1.0350106954574585,0.5187922120094299
AllenCahn1D,breed_ac_6_long,20065.186747,2.163342469430063e-05,0.1310788094997406,1.0211422443389893,0.5104703903198242
AllenCahn1D,breed_ac_8_1_long,19504.152493,7.778425788274035e-05,0.1350999921560287,1.0403443574905396,0.5182412266731262
AllenCahn1D,breed_ac_8_long,19376.257569,2.826917807396967e-05,0.1320780664682388,1.0061500072479248,0.512412428855896
AllenCahn1D,pinn_ac_2_long,21502.56593,8.338381303474307e-05,0.1409130245447158,1.023490309715271,0.5292730927467346
AllenCahn1D,pinn_ac_3_long,17476.286492,0.0001283737510675,0.1168939992785453,1.0149317979812622,0.4820592105388641
AllenCahn1D,r3_ac_0_long,20450.967865,3.453226963756606e-05,0.1383457630872726,1.0487658977508545,0.5244296193122864
AllenCahn1D,r3_ac_1_long,19644.255622,6.252920138649642e-05,0.1522271186113357,1.0159085988998413,0.5501109957695007
AllenCahn1D,r3_ac_2_long,19013.353468,4.197594535071403e-05,0.1378154158592224,1.009443283081055,0.523423433303833
AllenCahn1D,randomr_ac_2_long,21191.38439,7.627154263900593e-05,0.1352803111076355,1.0356378555297852,0.5185869336128235
