pde,method,run_time,train_loss,mse,mxe,l2rel
AllenCahn1D,breed_ac_0,2010.793634,0.0691018030047416,0.4875392913818359,1.0054086446762085,0.9827280044555664
AllenCahn1D,breed_ac_1,2298.528296,0.0040585966780781,0.4484865665435791,1.2517083883285522,0.9425474405288696
AllenCahn1D,breed_ac_2,2338.749685,0.0038335593417286,0.4274415969848633,1.0931203365325928,0.9201675653457642
AllenCahn1D,breed_ac_3,3450.042144,0.0020761101040989,0.3676586151123047,1.1147819757461548,0.8533965349197388
AllenCahn1D,breed_ac_4,2839.290517,0.001819314667955,0.3265605270862579,1.1278501749038696,0.8057237267494202
AllenCahn1D,breed_ac_5,3318.725453,0.0019682697020471,0.3516873717308044,1.607127666473389,0.8361470699310303
AllenCahn1D,breed_ac_6,2625.129598,0.0012744676787406,0.2697322070598602,1.0438233613967896,0.7322690486907959
AllenCahn1D,breed_ac_7,3258.724364,0.0038527108263224,0.3692589700222015,1.0519390106201172,0.856781005859375
AllenCahn1D,breed_ac_7_1,3217.235847,0.0038437938783317,0.373306542634964,1.1032553911209106,0.8614638447761536
AllenCahn1D,pinn_ac_0,1645.582452,0.0189687181264162,0.5592111349105835,1.2870595455169678,1.0524863004684448
AllenCahn1D,pinn_ac_1,2460.285567,0.0030015273950994,0.4140171408653259,1.317430019378662,0.9056026339530944
AllenCahn1D,pinn_ac_2,1879.774685,0.0037084333598613,0.354815125465393,1.0289283990859983,0.8383581638336182
AllenCahn1D,pinn_ac_3,3600.0,0.002892,0.33985,1.09043,0.70355
